,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,The Goodbye Girl,12,2827513,2542261,2,MGM
0,Still of the Night,12,4793064,1921030,1,MGM
0,My Favorite Year,12,17098414,908321,0,MGM
0,Trail of the Pink Panther,12,13405967,6350620,6,MGM
0,A Christmas Story,12,70263910,8511404,8,MGM
0,2010,12,74327346,28385529,28,MGM
0,Rocky IV,12,281312932,57522258,57,MGM
0,To Live and Die in L.A.,12,61449183,1533717,1,MGM
0,Baby Boom,12,22088936,1076863,1,MGM
0,Rain Man,12,85559294,46013319,46,MGM
0,All Dogs Go To Heaven,12,14568951,2709885,2,MGM
0,The Russia House,12,18441150,12332932,12,MGM
0,Stargate,12,332711127,7790027,7,MGM
0,Speechless,12,33224880,15971033,15,MGM
0,Goldeneye,12,420687657,33041288,33,MGM
0,Wild Bill,12,3360086,2007948,2,MGM
0,Get Shorty,12,335676796,6279626,6,MGM
0,Leaving Las Vegas,12,9988579,1768651,1,MGM
0,Cutthroat Island,12,12374606,7992936,7,MGM
0,Richard III,12,113365,113365,0,MGM
0,Larger Than Life,12,8273994,50700,0,MGM
0,Bent,12,932163,167684,0,MGM
0,Red Corner,12,88222249,657395,0,MGM
0,Tomorrow Never Dies,12,120339838,78609348,78,MGM
0,Ronin,12,82958522,101104,0,MGM
0,Flawless,12,20996200,1974095,1,MGM
0,Stigmata,12,249897408,155476,0,MGM
0,The Thomas Crown Affair,12,346270032,131306,0,MGM
0,The World is Not Enough,12,537164097,39193238,39,MGM
0,Miss Julie,12,9931,9931,0,MGM
0,The Basket,12,2867977,8781,0,MGM
0,The Claim,12,9504,7382,0,MGM
0,Jeepers Creepers,12,75804867,9794,0,MGM
0,Legally Blonde,12,289292247,258278,0,MGM
0,No Man's Land,12,551019,251178,0,MGM
0,Bandits,12,165332904,350718,0,MGM
0,Ghost World,12,24388931,21820,0,MGM
0,Die Another Day,12,551687912,43458534,43,MGM
0,Igby Goes Down,12,4672634,13323,0,MGM
0,Bowling for Columbine,12,57702622,3372364,3,MGM
0,Personal Velocity,12,1926828,553756,0,MGM
0,Evelyn,12,1366817,892211,0,MGM
0,Out of Time,12,81981723,90957,0,MGM
0,Pieces of April,12,9134024,344385,0,MGM
0,Hotel Rwanda,12,786918,460198,0,MGM
0,School for Scoundrels,12,53367655,98336,0,MGM
0,Copying Beethoven,12,1599761,132470,0,MGM
0,Van Wilder Deux: The Rise o…,12,19849732,4255972,4,MGM
0,Flyboys,12,39166756,84128,0,MGM
0,Harsh Times,12,6670870,19666,0,MGM
0,Bobby,12,53513182,3863264,3,MGM
0,Rocky Balboa,12,101686350,54624962,54,MGM
0,Black Christmas,12,20620340,13425786,13,MGM
0,Miss Potter,12,17555,17555,0,MGM
0,The Mist,12,100160132,4465662,4,MGM
0,The Feast of Love,12,3508572,10039,0,MGM
0,Death at a Funeral,12,34285441,48513,0,MGM
0,Diva,12,191737,21122,0,MGM
0,Lars and the Real Girl,12,22327289,576207,0,MGM
0,Halloween,12,58269151,5901,0,MGM
0,How to Lose Friends & Alien…,12,2775593,4740,0,MGM
0,The Other End of the Line,12,115504,215,0,MGM
0,Vicky Cristina Barcelona,12,90616951,300930,0,MGM
0,Soul Men,12,47926109,279678,0,MGM
0,Igor,12,77624692,183202,0,MGM
0,Fame,12,22455510,13898,0,MGM
0,Clash of the Titans,6,50837090,20000000,20,MGM
0,Diner,6,6136821,1218651,1,MGM
0,Rocky 3,6,210710208,46568072,46,MGM
0,Poltergeist,6,90972672,33700000,33,MGM
0,Victor/Victoria,6,42827433,2226141,2,MGM
0,WarGames,6,83688968,32087247,32,MGM
0,Octopussy,6,70805134,32164899,32,MGM
0,This is Spinal Tap,6,17219463,530334,0,MGM
0,Movers and Shakers,6,1099139,122326,0,MGM
0,A View to a Kill,6,155993534,18768023,18,MGM
0,Red Sonja,6,1512578,1512578,1,MGM
0,Poltergeist II: The Other Side,6,60660309,9193018,9,MGM
0,Running Scared,6,8290827,8290827,8,MGM
0,Spaceballs,6,13577211,11045365,11,MGM
0,Moonstruck,6,76649353,893165,0,MGM
0,Rain Man,6,334245609,2050694,2,MGM
0,Thelma & Louise,6,98796176,16486426,16,MGM
0,Getting Even With Dad,6,8121243,8121243,8,MGM
0,The Pebble and the Penguin,6,11564211,120064,0,MGM
0,Rob Roy,6,124118205,791894,0,MGM
0,Top Dog,6,14680427,189204,0,MGM
0,Fluke,6,12113856,3658756,3,MGM
0,The Birdcage,6,486884321,2607699,2,MGM
0,Moll Flanders,6,6931449,2953659,2,MGM
0,The Man in the Iron Mask,6,226991145,388851,0,MGM
0,Species 2,6,57318389,167053,0,MGM
0,Dirty Work,6,23369060,9354657,9,MGM
0,Gone with the Wind,6,193888974,1962627,1,MGM
0,Tea with Mussolini,6,34131569,4359369,4,MGM
0,The Mod Squad,6,53015226,35473,0,MGM
