,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Star Trek: The Motion Picture,12,44657497,27583976,27,Paramount Pictures
0,Raiders of the Lost Ark,12,172458737,176175689,176,Paramount Pictures
0,An Officer and a Gentleman,12,531745591,9935482,9,Paramount Pictures
0,48 Hrs.,12,65592007,25201251,25,Paramount Pictures
0,Airplane II: The Sequel,12,57027517,21072176,21,Paramount Pictures
0,Terms of Endearment,12,120535331,36377551,36,Paramount Pictures
0,Vertigo,12,2283814,382942,0,Paramount Pictures
0,The Keep,12,7187850,3354329,3,Paramount Pictures
0,Uncommon Valor,12,29322798,14894219,14,Paramount Pictures
0,Falling in Love,12,32416675,4092778,4,Paramount Pictures
0,Beverly Hills Cop,12,218323261,83641130,83,Paramount Pictures
0,Young Sherlock Holmes,12,32405822,12572851,12,Paramount Pictures
0,Clue,12,17645412,9491382,9,Paramount Pictures
0,Star Trek IV: The Voyage Home,12,223916482,44965672,44,Paramount Pictures
0,Top Gun,12,168040072,880384,0,Paramount Pictures
0,Crocodile Dundee,12,431049787,22566620,22,Paramount Pictures
0,The Golden Child,12,89378227,45597762,45,Paramount Pictures
0,Fatal Attraction,12,479512665,14691694,14,Paramount Pictures
0,"Planes, Trains & Automobiles",12,104935048,23068191,23,Paramount Pictures
0,Eddie Murphy Raw,12,40470532,26939719,26,Paramount Pictures
0,Scrooged,12,220552130,33689180,33,Paramount Pictures
0,The Naked Gun: From the Fil…,12,151021800,49489012,49,Paramount Pictures
0,Harlem Nights,12,194908003,15555565,15,Paramount Pictures
0,We're No Angels,12,8735959,5734949,5,Paramount Pictures
0,Ghost,12,203616313,2038628,2,Paramount Pictures
0,The Godfather: Part III,12,36447884,22423901,22,Paramount Pictures
0,The Addams Family,12,320295241,35340767,35,Paramount Pictures
0,Star Trek VI: The Undiscove…,12,154983989,55862004,55,Paramount Pictures
0,Leap of Faith,12,17559163,12466770,12,Paramount Pictures
0,Addams Family Values,12,118399739,10012919,10,Paramount Pictures
0,Wayne's World 2,12,121355073,41282458,41,Paramount Pictures
0,Clear and Present Danger,12,607487772,1171403,1,Paramount Pictures
0,Forrest Gump,12,1188577635,4468671,4,Paramount Pictures
0,Star Trek: Generations,12,330721237,19875593,19,Paramount Pictures
0,The Browning Version,12,390095,18816,0,Paramount Pictures
0,Drop Zone,12,66206844,23927413,23,Paramount Pictures
0,I.Q.,12,20938071,14278221,14,Paramount Pictures
0,Nobody's Fool,12,580342,414228,0,Paramount Pictures
0,Milk Money,12,35719255,428226,0,Paramount Pictures
0,The Indian in the Cupboard,12,71089063,53575,0,Paramount Pictures
0,Vampire in Brooklyn,12,37853007,210222,0,Paramount Pictures
0,Nick of Time,12,14218178,3178421,3,Paramount Pictures
0,Clueless,12,280954566,940154,0,Paramount Pictures
0,Home for the Holidays,12,84485439,2431696,2,Paramount Pictures
0,Sabrina,12,62510691,33212521,33,Paramount Pictures
0,Jade,12,9795017,64736,0,Paramount Pictures
0,Star Trek: First Contact,12,321291301,22831776,22,Paramount Pictures
0,Thinner,12,14787219,52510,0,Paramount Pictures
0,The First Wives Club,12,409983624,2672039,2,Paramount Pictures
0,The Ghost and the Darkness,12,75304444,224619,0,Paramount Pictures
0,Beavis and Butt-Head Do Ame…,12,79304241,48394002,48,Paramount Pictures
0,Mother,12,367312,276973,0,Paramount Pictures
0,The Evening Star,12,7852697,5886693,5,Paramount Pictures
0,In & Out,12,250925549,768113,0,Paramount Pictures
0,The Rainmaker,12,162131158,15045422,15,Paramount Pictures
0,Switchback,12,6450556,77854,0,Paramount Pictures
0,Kiss the Girls,12,238268234,663100,0,Paramount Pictures
0,Fairytale: A True Story,12,54696803,614810,0,Paramount Pictures
0,Titanic,12,177122029,124152693,124,Paramount Pictures
0,The Rugrats Movie,12,308414552,26611065,26,Paramount Pictures
0,A Night at the Roxbury,12,120950997,432471,0,Paramount Pictures
0,Snake Eyes,12,111098929,150744,0,Paramount Pictures
0,Star Trek: Insurrection,12,121663300,53895383,53,Paramount Pictures
0,A Simple Plan,12,3757369,2003920,2,Paramount Pictures
0,Runaway Bride,12,759318668,710490,0,Paramount Pictures
0,Bringing Out The Dead,12,49365153,110422,0,Paramount Pictures
0,Double Jeopardy,12,568705269,1564157,1,Paramount Pictures
