,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,The Black Stallion Returns,3,4239905,4239905,4,MGM/UA Classics
0,Yentl,3,190175390,1978878,1,MGM/UA Classics
0,The Ice Pirates,3,25702911,11046737,11,MGM/UA Classics
0,Misunderstood,3,1165186,1165186,1,MGM/UA Classics
0,A Sunday in the Park,3,8484706,415420,0,MGM/UA Classics
0,The Black Stallion Returns,4,25226338,5216275,5,MGM/UA Classics
0,Exposed,4,804035,531870,0,MGM/UA Classics
0,Misunderstood,4,1476560,311374,0,MGM/UA Classics
0,The Ice Pirates,4,37020803,1747914,1,MGM/UA Classics
0,Yentl,4,116651351,338295,0,MGM/UA Classics
0,A Sunday in the Park,4,7929206,185850,0,MGM/UA Classics
0,Exposed,5,1988229,648298,0,MGM/UA Classics
0,A Sunday in the Park,5,4216567,91523,0,MGM/UA Classics
0,Sylvia,5,12463,12463,0,MGM/UA Classics
0,Curse of the Pink Panther,8,2533434,2533434,2,MGM/UA Classics
0,Red Dawn,8,91241649,30295142,30,MGM/UA Classics
0,Oxford Blues,8,9960964,6203097,6,MGM/UA Classics
0,Wetherby,8,1017542,228384,0,MGM/UA Classics
0,Who Dares Wins,9,4505822,1858035,1,MGM/UA Classics
0,Oxford Blues,9,15728786,2074709,2,MGM/UA Classics
0,Red Dawn,9,139853735,6195352,6,MGM/UA Classics
0,Until September,9,6433958,3870157,3,MGM/UA Classics
0,Wetherby,9,2489902,433587,0,MGM/UA Classics
0,Romantic Comedy,10,7339283,4543633,4,MGM/UA Classics
0,Red Dawn,10,149667961,1243424,1,MGM/UA Classics
0,Until September,10,4048185,178028,0,MGM/UA Classics
0,Teachers,10,60982888,20528441,20,MGM/UA Classics
0,Garbo Talks,10,795556,350802,0,MGM/UA Classics
0,Wetherby,10,3528208,169227,0,MGM/UA Classics
0,Yentl,11,1734717,1150316,1,MGM/UA Classics
0,Red Dawn,11,37840361,106443,0,MGM/UA Classics
0,Garbo Talks,11,3324594,1022566,1,MGM/UA Classics
0,Teachers,11,100679254,6407866,6,MGM/UA Classics
0,A Sunday in the Park,11,289712,133717,0,MGM/UA Classics
0,Just the Way You Are,11,16319515,7129390,7,MGM/UA Classics
0,Wetherby,11,5022344,124570,0,MGM/UA Classics
0,Yentl,12,50535620,18540017,18,MGM/UA Classics
0,A Sunday in the Park,12,1127696,351678,0,MGM/UA Classics
0,Just the Way You Are,12,7441138,311748,0,MGM/UA Classics
0,Mrs. Soffel,12,126868,103712,0,MGM/UA Classics
0,Wetherby,12,4303299,25846,0,MGM/UA Classics
0,Overboard,12,12998702,9005984,9,MGM/UA Classics
0,Yentl,1,110157499,11707735,11,MGM/UA Classics
0,Hot Dogâ¦ The Movie,1,28854599,13013821,13,MGM/UA Classics
0,Mrs. Soffel,1,1270912,277568,0,MGM/UA Classics
0,A Sunday in the Park,1,3257640,508221,0,MGM/UA Classics
0,Wetherby,1,3341449,46116,0,MGM/UA Classics
0,Overboard,1,14234300,4818403,4,MGM/UA Classics
0,Yentl,2,140536689,5253186,5,MGM/UA Classics
0,Hot Dogâ¦ The Movie,2,48604192,4148566,4,MGM/UA Classics
0,Reckless,2,14589701,6307830,6,MGM/UA Classics
0,Mrs. Soffel,2,10141011,3429377,3,MGM/UA Classics
0,A Sunday in the Park,2,5108140,444292,0,MGM/UA Classics
0,Heavenly Bodies,2,1455149,1455149,1,MGM/UA Classics
0,The Pope of Greenwich Village,6,6675125,4283517,4,MGM/UA Classics
0,Sylvia,6,62349,25788,0,MGM/UA Classics
0,The Pope of Greenwich Village,7,5621545,1338028,1,MGM/UA Classics
0,Electric Dreams,7,1676830,1676830,1,MGM/UA Classics
0,Wetherby,7,159035,100001,0,MGM/UA Classics
