,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,DeathStalker,9,8473249,3095359,New World
0,Turkey Shoot,9,1652401,761762,New World
0,Stryker,9,1325924,751290,New World
0,C.H.U.D.,9,2993851,981560,New World
0,The Warrior and the Sorceress,9,5379319,2567838,New World
0,Body Rock,9,817580,817580,New World
0,Hellraiser,9,14791249,9094038,New World
0,Small Change,9,36228,994,New World
0,The Prey,10,38055,38055,New World
0,DeathStalker,10,20191554,3036965,New World
0,Turkey Shoot,10,2379754,245767,New World
0,Body Rock,10,2611197,670424,New World
0,Crimes of Passion,10,3604422,2084827,New World
0,Soul Man,10,15769408,10190028,New World
0,Hellraiser,10,23785938,3473555,New World
0,Small Change,10,33549,889,New World
0,DeathStalker,11,30704550,2403682,New World
0,Crimes of Passion,11,5063492,706073,New World
0,Transylvania 6-5000,11,21831571,7056415,New World
0,Soul Man,11,78996295,14279637,New World
0,Flowers in the Attic,11,17417094,10503154,New World
0,Small Change,11,81882,11462,New World
0,Angel,1,13487438,5965459,New World
0,Avenging Angel,1,8238911,3204857,New World
0,Tuff Turf,1,8488408,3712179,New World
0,Black Moon Rising,1,9841507,5969565,New World
0,Wanted: Dead or Alive,1,3736398,3736398,New World
0,Small Change,1,36310,2395,New World
0,Angel,2,39382339,6378442,New World
0,Avenging Angel,2,19757657,2278069,New World
0,Tuff Turf,2,28137893,4085013,New World
0,Lust in the Dust,2,647856,295366,New World
0,Knights of the City,2,451693,451693,New World
0,House,2,7580453,7580453,New World
0,Death Before Dishonor,2,2406787,2406787,New World
0,Small Change,2,59611,2825,New World
0,Angel,3,77173016,4498463,New World
0,Children of the Corn,3,25467332,9474268,New World
0,Lust in the Dust,3,427109,131743,New World
0,Certain Fury,3,985205,985205,New World
0,Tuff Turf,3,17891570,1361464,New World
0,House,3,44411950,9340496,New World
0,Small Change,3,67024,2806,New World
0,Angel,4,51766179,560240,New World
0,Children of the Corn,4,44398113,3358207,New World
0,Love Letters,4,84034,84034,New World
0,Girls Just Want to Have Fun,4,9409504,4045051,New World
0,Fraternity Vacation,4,5220766,2123617,New World
0,Small Change,4,128190,3045,New World
0,Love Letters,5,2914431,1244987,New World
0,Children of the Corn,5,43042717,1693403,New World
0,Girls Just Want to Have Fun,5,10049065,1510979,New World
0,Fraternity Vacation,5,5103591,707485,New World
0,"No Retreat, No Surrender",5,2531083,1607168,New World
0,Creepshow 2,5,22603165,8749577,New World
0,Small Change,5,120199,2286,New World
0,Love Letters,6,12493159,1901325,New World
0,Small Change,6,28394,446,New World
0,Love Letters,7,16175355,1277031,New World
0,Small Change,7,95122,1745,New World
0,Love Letters,8,9864099,563986,New World
0,The Philadelphia Experiment,8,18851626,7053614,New World
0,C.H.U.D.,8,2012291,2012291,New World
0,Godzilla 1985,8,2716706,2012947,New World
0,House II: The Second Story,8,3473919,3473919,New World
0,Small Change,8,32660,927,New World
0,Soul Man,12,25979945,1510280,New World
0,Flowers in the Attic,12,12343563,1840409,New World
0,Hellraiser II: Hellbound,12,12880818,8038981,New World
0,Small Change,12,79413,5510,New World
